Metabolite,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
ISTD_D4-Alanine,8574.4623584231,8008.128529039406,7746.10287231541,7311.281771414222,8792.154737724402,7027.245025394183,7823.775707571535,6924.970024903245,8022.336513063019,7811.186788012402,8362.631742717045,7627.4113740800685,8608.845731079702,8116.393258994857,7530.649004311894,8408.71047754337,8201.935673894197,8522.55386891747,8322.904445996253,8125.73490528887,8018.545392157408,7386.535602012019,8325.944858771954,8559.827482422608,8314.637018577592,8173.982650952879,8256.784482561827,8354.65446576951,7800.706106263674,8847.650924349866
Metabolite_002,30721.88666842523,32499.249806975826,24855.0059621842,28905.342605454516,27084.623291588498,20432.097825039065,31570.342073868316,30472.969515117882,23094.537938456346,26076.64809760878,24232.77207431585,31920.79371303387,25354.02588151233,30610.729236169987,28039.531810815206,20248.604878393908,30238.321044492444,25059.804459490686,29241.48235859268,35051.9078918096,0.0,25213.77998135918,26923.827851858212,24697.491455147374,30810.736192424753,32553.4668010299,17617.10122835404,23803.944405167047,24707.561009720856,31392.10785841725
Metabolite_003,210055.10574956247,259140.88026820082,0.0,179912.33731206556,206869.2376165929,215867.32407764808,259384.64671703443,277358.6392893332,252005.22953699878,320415.16436205787,282983.82382715325,352720.5866750633,472370.29633443285,440832.43184616877,453150.8921353263,391195.5171908477,542666.7884403708,476487.5584343549,513244.5087227027,452229.73132170486,496021.4388032963,457811.8962788766,617269.0519546256,494455.1900501403,169449.71381188466,180271.29458464577,164803.28732649537,199539.79392292196,227794.41749108533,227519.03482942135
Metabolite_004,0.0,0.0,84444.62899867883,0.0,67652.2114116303,0.0,21186.783372438225,0.0,29586.3624152198,19895.047209765693,0.0,18886.933531220424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63527.692973302845,62772.19004447166,55388.44603006691,70612.1790882043,51609.49521006963,60536.70675124978
Metabolite_005,0.0,27515.03628488564,25902.10329092665,0.0,0.0,0.0,23454.603395910624,0.0,0.0,0.0,0.0,24945.855570996206,27796.563029924604,24026.79575894473,24370.60485101183,0.0,21188.873559954904,0.0,0.0,25040.70261681316,0.0,28128.099825695128,22359.96913408061,24814.370959369637,26458.256487711045,23021.6556374141,26052.061920845972,21133.266021186402,27594.478011498424,28587.224083701483
Metabolite_006,0.0,9217.080038801943,12026.222893945735,8251.304603235356,9888.528064479113,10025.48941410887,11674.759200414775,8575.199686463757,9258.816410264104,0.0,7475.613758123448,7656.682573107274,10722.616803167928,10066.813984960321,9146.864617256779,10635.725971533566,9833.34478822933,0.0,8059.60990326801,10175.267691754738,7570.796659959291,10218.244753522404,10024.80107124212,12575.910386965013,12596.757122864632,9171.451017384508,9732.163117511785,12539.072389947843,9762.797379512907,7377.796189952778
Metabolite_007,0.0,9677.145785975417,0.0,8284.763183726058,9234.245139176568,8823.700924038718,10314.031282899386,11766.284671613563,8995.193810817202,9793.69876429865,8043.302180528025,10041.164104631169,7557.005713214738,0.0,11226.974135021268,9420.80364056603,8896.9810651899,9829.37069318912,0.0,0.0,9499.192501404332,0.0,11479.265197914407,10591.23469173732,9313.014346141625,10600.334415172472,8044.503820154305,13217.179101756545,11812.676552820314,9391.528150302765
Metabolite_008,32851.91329383039,0.0,0.0,28464.405871873605,33601.34682131163,32577.191342754704,0.0,27920.79299278972,35186.05953733107,0.0,29796.84656580947,0.0,0.0,0.0,0.0,34811.78916435816,26306.68435395113,0.0,31512.17807304101,37601.68501264525,0.0,22978.268361017155,32923.54429385897,35705.20771835681,28437.096227819296,36835.26292040609,32004.627504023545,36004.692856503105,37194.07535751367,29260.24921101426
Metabolite_009,3149.9779689948805,0.0,3514.096226272774,2829.6113406828135,3020.187676488562,3528.045362293671,3789.223505905125,2432.8813047339977,3234.883474077392,3985.7367643520556,4376.852314619594,2705.5032466150165,2791.008173658172,2983.4353380713555,3315.7831571490865,3275.8157951775042,3080.555450280323,2906.3511245224477,2895.52751771516,3080.175465961016,3506.0035730435707,4194.457807211217,3500.35967955008,3315.934664490575,2887.9681078146896,3212.4045119573284,2265.0277218886886,3275.5929674452177,3493.1047186365577,2958.387235117686
Metabolite_010,23152.872611355033,24653.603769163554,24004.96697766777,24994.792946249756,27161.94553288128,25768.61219751672,7946.28009717682,8064.145082756962,6782.80445059793,7380.855747598316,8857.789659134756,8537.309143645372,3307.179911355561,3853.0320703018015,2674.6152272153117,3635.967293093839,3244.455566388457,3285.1735493974543,3631.0343887934173,3803.6647082828495,2769.9432527631375,2931.9255533414866,3072.6324263062056,3810.396051787398,27034.23405188242,27392.759637764837,22555.975570404065,25859.05373818682,26280.5971877785,20947.112547882818
Metabolite_011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6293.081464978937,0.0,7366.12406987093,5960.323133236606,5946.582188196648,0.0,0.0,0.0,0.0,0.0,4875.9500537761805,0.0,3719.3297427131697,0.0,0.0,0.0,0.0,7770.647854283978,8880.696386515216,7104.620969000032,4267.474028361206,6581.325623965583,6311.504886879855
Metabolite_012,9295.172168317862,8017.233805530517,9342.450180695256,8974.951147757962,6384.71212580368,7610.943486063195,3434.631576900216,3465.069627562318,4020.349802361704,4689.834843369387,4430.473181176374,4764.99669628896,1379.1781216659413,961.642146453099,0.0,1494.9557427246684,1659.2561076845782,1130.1164228282576,0.0,1451.4118602363776,1419.434545522991,1367.109512867651,1327.639514159146,1126.595355889767,8718.325911164557,10719.96695907365,11102.740464758743,9499.654756790194,8737.18925755524,9282.675177636362
Metabolite_013,13996.603545288048,16999.279193145885,16308.168516399213,15809.9470235781,13158.594322287367,13780.728213750417,18549.223968265193,0.0,14591.021526404444,22909.904825686423,13449.318866211332,0.0,15894.568425047688,14624.87901011774,0.0,14116.130546726676,16084.149468743863,16500.40933491836,15237.263161686808,11691.811799077397,14937.353443180733,15305.690307692641,15460.82645198827,15082.965549879738,9736.415625254374,17125.12580867939,15772.131647180084,17492.211204958796,13078.239865715648,15636.556597389805
Metabolite_014,72871.57397245895,64941.91003158371,73448.56536073747,59357.49572316507,80544.83751086642,86508.28639823977,75569.050042656,72757.45200188918,0.0,64549.91715283617,70638.19661337229,66481.02202956329,70422.77987300446,0.0,69972.01659477546,74182.37804512364,68067.12074369364,70620.18106094451,76627.22000118722,55275.47765430053,52430.61046246816,64565.447788400714,66765.82181856182,55933.89116757338,81652.86085113052,53593.666683838666,55601.169209972795,67468.47704490364,64767.32219749435,62425.18071438419
Metabolite_015,32196.80762398132,35025.3486180705,0.0,39798.31368864382,40463.61808888005,31468.630903266614,30472.17202157803,33761.39065600556,35956.147116117725,23182.749979228112,38600.05389680914,38830.01680862563,32006.896684932857,31015.337959819914,51209.19545888572,31900.348710117385,32793.902000022106,35720.24531315077,10749.744324819476,7338.271095091839,10592.003006788931,8888.576323371664,7879.040661522305,6683.681999678359,45965.051340394435,31822.014693676247,31788.10365672176,38351.90473029559,26086.78497314571,34007.74262340423
Metabolite_016,100913.06852861558,132554.47418981206,121155.27762043952,154281.98286227914,125178.8787146283,137360.64171448787,120473.15634616927,130285.17771125621,123608.33117413837,115174.61851498985,150098.75545644332,127573.5200792991,132857.28147416876,141280.92906959585,117963.81746546511,138162.29183784628,132669.79503479876,108358.21663563099,117272.10117835626,145372.23269878014,134753.65308957556,126830.41757336998,134420.18180592693,96796.98959960601,147973.04930925416,120380.29363285314,128491.99195419555,126778.9805705069,110697.57501528082,105178.82762567549
Metabolite_017,61437.07601019207,62796.70878562836,73354.30446011496,59156.7509293059,0.0,59830.58009422686,68741.45560335873,90688.59095451608,75292.46186874491,95334.58186796091,74184.45420587885,86961.04655514234,135543.71591004185,122631.02419667745,130178.9489220668,127662.08658923593,0.0,102322.63585606821,167083.13556377185,243214.7714014833,139636.65983636832,0.0,159424.44703472787,111871.81892590139,42043.281145771565,59397.479001933796,57813.264750191134,60507.34131282363,62571.783724884575,47315.37066484252
