Metabolite,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
ISTD_D4-Alanine,8076.833714950516,7738.742300452144,7959.746223699031,7847.608280059211,7643.424817830876,8294.074111547376,8029.207710605354,8116.66274030501,7944.361664277677,8745.69927238742,7631.51642488489,8500.449033550321,8158.8467818575955,7662.968047268172,8415.662539708897,8349.382125577189,8377.627971501324,8080.598451885732,8627.074656947578,8582.332681151564,8354.54384398959,7613.074406313581,7794.845622575536,7090.308447681014,8743.200774016967,8180.556746930593,8320.606688449967,8795.90686222818,7549.501248666082,8089.4298360229495
Metabolite_002,9005.54739001558,13233.567163811367,8662.278428522408,13612.784769616088,10777.589829491715,11656.933658429773,11203.99427229066,10657.312397022031,12490.341033032371,10502.651267618832,9398.78973173853,10696.504353707016,8178.155853418984,10399.100130255882,8145.307984070918,10663.522029119067,11853.350330303343,11706.541798458124,10408.849409335564,7093.188101356167,9902.807730614444,0.0,9694.00457316094,11546.206389250337,9640.015624823161,13500.93988689048,7769.310804936865,9856.349946229877,10060.805626493224,11497.815750046475
Metabolite_003,7490.163286489187,7634.274358294162,5287.452990834394,10035.626144072881,7673.3509091243095,6771.601644288454,9167.235491816817,6298.105151092222,7846.877295470872,8655.829443282217,8367.271250512214,7731.9514760710235,7355.920107602745,6409.584355664046,7841.72071100479,6151.343682276967,8744.849132090752,8490.182677351853,7480.223315317289,5598.939724792112,8226.591009853124,8218.624933499786,6348.819668580463,7019.594471442945,7638.763148805298,8302.86140444641,7067.443858555903,6598.945083470107,6913.415485735569,6453.130843821961
Metabolite_004,19282.161205956214,19462.381960705407,10883.759802070428,13932.848049109421,18668.18201826141,18221.179645653534,19826.368987520094,17830.256863282688,15832.009827680993,15464.066801506833,0.0,15800.28655918102,0.0,15110.441494287305,11319.162552382944,16711.21446949828,0.0,14471.52621841965,0.0,39929.35848308096,0.0,47259.07669757749,52420.013583113054,50053.13049325324,15156.559176334706,15263.488280219606,11984.21761860371,12270.81739545917,17464.73538191041,12992.439168848343
Metabolite_005,6788.986387916785,0.0,6623.046586410172,0.0,0.0,6351.1321725002335,0.0,7893.974347362556,6565.162070709772,0.0,7515.4893827621,0.0,0.0,6542.734708983509,6500.1085719009,0.0,5231.39788648331,6454.84799613887,5527.073307090295,6020.202523536437,8328.154038097147,6069.888312351192,0.0,7889.25995367151,5522.871959876833,7079.690806108744,5811.8165486865655,7167.875611275835,6502.2605243411535,8094.905221103625
Metabolite_006,98309.53454715473,106815.0720410802,123598.62362413172,0.0,121724.20357107579,110891.23798286145,114479.51102037769,89452.89616652337,102925.61022277734,101960.57580484432,111479.49338548974,0.0,116090.76286917948,109651.99901541408,92160.34596603976,93028.66825923239,107611.29723905175,84060.80785696367,94925.25015997117,98294.30011762863,106971.48074451448,0.0,83901.32242518892,110171.24551692662,75072.67006385607,90639.41825051037,114519.87804349947,95410.30630403981,106317.51300583188,145076.52308017388
Metabolite_007,51546.64787064154,51745.501885232436,38888.87109555717,0.0,65851.8039986794,54831.163661081344,84341.06559433785,0.0,85392.57922408752,85363.69103564756,84709.189771922,71579.32659257125,127081.63411996621,137680.45796398772,133644.81709742697,128766.79820977074,101557.00377826774,0.0,219130.55110326933,119293.1620290486,116590.88917886281,142681.83693410773,114536.61358614062,119211.20027508524,42659.52163700224,44573.9980251222,51438.627099754536,59250.84005889099,54177.46869432288,59574.30065227328
Metabolite_008,39232.345568558565,0.0,0.0,32101.78706990215,43064.76184711672,44950.131453454225,59655.69819508696,0.0,71573.26434432721,77953.71210614248,58385.07890634342,74991.45248989509,82647.73341586126,101474.61067186623,59716.16017583091,83497.22230280332,93978.82132971802,73634.38750643577,0.0,93876.35292984976,0.0,0.0,0.0,112174.1495117464,32973.75241060159,35107.083330917,44713.247163239226,47597.06719949347,42157.11518653124,55468.228501318394
Metabolite_009,81883.16899938321,89602.12781078568,92605.30007098135,86946.6527318025,73545.04720918312,73261.64916419248,90482.30929227422,95933.0538232707,118073.17999095176,0.0,59455.180210225015,72782.00974460597,70156.85015107994,78088.34797705214,96815.93179724259,94256.38554685721,0.0,72638.56492184394,85172.71283837708,89579.57882917297,123286.15718372139,110111.0223523234,87662.67552954795,0.0,91926.95093587597,86255.72164811187,85587.52628113037,69131.1514920957,114079.58018172927,91968.49031057277
Metabolite_010,10098.226363654754,11268.070247503701,11052.229386404015,11750.630582898111,11203.247382355505,15409.529535581098,9343.101952018687,14121.172243961679,11824.42711419834,13950.36233988686,11146.234621402013,0.0,12427.8406862681,0.0,10044.711702141367,13486.121461504297,14984.802856682863,13025.323254022418,11889.800628507532,16449.387264264675,12205.742536154652,0.0,12554.894191069137,0.0,11239.284545977245,10830.791390635834,14613.61105007096,12220.321155696593,13220.916695665575,10219.301194521204
Metabolite_011,0.0,0.0,6097.076975460944,4672.332323058372,6675.9293097164555,0.0,0.0,6736.620336448112,4891.869188920643,0.0,0.0,5186.477916687988,4766.920206409772,0.0,4541.624543680777,6531.984077292188,6080.854495144332,0.0,5616.810464736792,0.0,4875.311005818964,0.0,5665.34477264884,0.0,5144.289383938684,4839.576448542559,5915.455027591867,5257.077677593146,6241.693222987988,6168.925004160438
Metabolite_012,30045.973802590866,0.0,0.0,34874.36349290113,31927.482254069524,29303.34067430334,29722.015592667973,0.0,29310.225377250325,29941.463656609507,34331.65244492331,29085.0519021039,0.0,27591.95590755919,29279.19683995767,30803.178633622,0.0,26878.509444333355,31468.45756989951,0.0,25682.682638494516,42843.09668745364,26505.920012518814,39481.021824786076,38429.18425135498,37570.63929476081,36072.80167113446,26321.466725688693,28296.667293758583,34317.938861650764
Metabolite_013,26178.68584235259,33717.86857886327,25595.639012098723,25007.227906576878,30503.413613402205,27887.309846839456,0.0,0.0,23706.339741298118,32196.44545494901,24929.823372118568,28385.53614432794,0.0,37599.79011025816,27787.214818442204,28605.250973499766,30204.474216637,0.0,36852.150599068744,28827.541688149362,27679.860889858362,0.0,27968.788310524753,34524.995509094995,23114.396675176402,23966.864999687867,21553.94262620513,29412.84774756868,33660.657786640826,28461.97899014946
Metabolite_014,7852.125476562415,9166.254520737199,0.0,0.0,0.0,8018.225160093895,9599.28286511736,11672.482331117897,0.0,0.0,9434.783798567603,9280.320925931108,6371.361607088689,10748.785241422442,8144.718532818753,8992.777275374436,6836.13931506275,0.0,0.0,0.0,0.0,0.0,0.0,9702.442528162806,10519.419893571136,9607.115101769963,10148.20545021954,8114.0368082543055,10125.790410601448,8372.192268630994
Metabolite_015,37320.00826062598,26069.17902015438,34778.79504890136,40872.023925078334,36327.11051995877,31509.298397631264,42206.810285028696,30453.053132004552,36055.69384743985,36574.36579047616,35190.51045650244,43716.37591117168,32176.62921787667,45728.35148868207,45128.71217649131,39376.915416831944,40197.16142961878,33715.158878579474,0.0,40724.26607159334,39443.157349801804,44865.25295681165,36035.93016238151,41511.685311029876,31243.898260964164,41752.76055226736,41686.92278632467,42714.47512503225,33301.127046680485,31653.355536754338
Metabolite_016,91390.8525067285,96889.62205931763,112861.37144024536,110042.1953336281,98110.25756506898,65092.153654607406,69884.29127231504,64988.69746290548,56056.162349671475,0.0,52962.465400607725,52989.719549535366,14520.159475604689,13353.257112178,19256.383176879997,11970.412073973434,15174.732607247344,10745.354667099065,15659.74713294018,15627.275846330396,11975.859857700338,18697.72686653487,14952.127192117647,18269.7277607866,108405.94233243147,82333.85689914318,86415.8516300996,117530.29690563786,73970.67252719434,131022.76333521288
Metabolite_017,15050.235752456685,0.0,12167.950765949003,0.0,9779.620729999018,14575.056589884987,9519.303699993972,14600.581621950305,14235.065018324858,12495.725576190453,11657.133976095858,11929.181131905774,13792.36989891769,13488.100025136731,11991.63671299718,13329.710634120538,13485.63937755869,15863.035247911608,11550.302454541023,13224.221808350552,0.0,14668.647243546435,10656.436649441968,12519.605044252874,13988.656602128067,12777.985631637735,11264.65673538618,11168.4129600161,14637.855154518795,14666.296096420945
Metabolite_018,23444.059281124886,36112.05710210037,24290.431928111306,26240.554234744668,28778.27885836064,28293.97898782534,27499.130118752382,23149.29540094797,28945.512978881863,0.0,23472.96793764475,21953.15478448081,24311.702655157293,26192.289274850104,26653.197626376426,24680.104421494896,29385.032904543474,0.0,27763.86001961566,26298.58026885007,18653.369080311717,0.0,23199.358495020886,24943.381370663465,26658.060132129795,27771.849139167738,25573.798277689133,27692.198119791956,25462.346789062984,21707.899764293466
Metabolite_019,0.0,26241.998048861406,23414.448371310285,30425.98987320022,33196.510580398666,30266.31444249467,25562.416012522324,28743.773640994015,32876.45774826539,24378.84803764076,26750.198882193727,28660.142203742038,24820.02693661624,0.0,23146.483815740794,26202.43202562179,0.0,48844.69548312454,29117.294722813243,35544.60486054654,26111.61819997925,29687.52136094826,30534.347492063636,28846.917017339434,33823.07408881032,34342.45406515838,30754.4583861165,26938.51024208037,28827.42745747462,30375.947882738143
Metabolite_020,32563.329940945012,35971.593882039604,35465.22443646342,0.0,34075.89984795589,38810.857936284854,67193.86165460896,0.0,60193.85029567063,47474.09566768696,53277.43790115238,40047.42437056482,72487.19972491541,57791.03353913195,55567.661410529545,68821.47844648358,94862.63573254932,63836.474031538,76317.57876744098,95856.25155341878,98446.58193304551,66608.79745139756,107156.79478993556,77087.1002788285,25855.112890152872,35438.69196469717,37951.4116191362,33295.72374886541,35344.52189041466,46259.15547241791
Metabolite_021,56026.289389822305,0.0,0.0,0.0,0.0,54729.953571374084,55547.08673829197,0.0,60544.91514130695,48115.79780009249,71294.75407172852,67010.48642804874,0.0,61325.208475092855,57823.83444257718,68596.72633488991,0.0,0.0,70367.39400753463,0.0,60150.8593396869,73232.11073021842,50505.05206797715,0.0,58128.10617393488,88895.38668218753,68011.60708860298,74799.10167426022,62265.15789702916,56606.00486232568
Metabolite_022,0.0,0.0,0.0,42375.618524384394,47915.475274430995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44132.79073201395,0.0,34722.76000238766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37582.91557280431,34917.62763220689,39919.758788423555,41454.92704461071,42325.89987429924,43240.81748588974
Metabolite_023,72835.75918832436,0.0,0.0,91653.50796294116,114969.16653484925,0.0,85133.83506187833,0.0,0.0,0.0,0.0,104518.93712442153,0.0,98719.36783193538,85333.84863063389,0.0,0.0,0.0,0.0,0.0,89419.75197880458,0.0,109526.96300081446,0.0,90423.64079284451,79989.35011063112,107651.31086085134,122088.17602850059,105686.08892991357,88189.5530747757
Metabolite_024,9300.228159860602,9036.415458825662,8837.270281692281,10471.447445371736,8385.171405550438,9914.225513083926,3291.3363633035974,4141.239222025252,3329.23356496316,3672.545216003282,3840.995041917205,2800.8306645825874,1120.1678608533305,1313.8278500057904,1499.2120379145647,1300.098478895462,1779.7154686089573,0.0,1454.8391546188886,1557.1910890187141,1211.6606353680286,0.0,1287.3271857831617,1989.6875326940162,10613.592798088443,8086.5527594431915,9858.918830535527,11448.69134515714,7245.7198921189565,12407.334362569378
Metabolite_025,11759.740746529505,14238.043507335526,11811.602483761826,13054.078691033657,11427.925894047934,10262.71476579852,12854.535492903464,14836.588198909381,13241.039083782,17930.14368419416,14232.61232328457,0.0,16261.516169349205,15483.849647062545,12470.765149642106,13736.990092764929,11896.612147849655,14834.628930809859,44091.59135335845,42632.80295888315,53816.695651663234,42980.63943987198,55219.30483047199,44988.86386333386,15591.407600719305,13968.765541749923,10861.45963646413,11803.595884941536,14685.050195200209,13357.281861918567
Metabolite_026,58030.601994279015,67813.35235644193,50188.654787130945,38703.87190749103,52709.622766833425,58031.89901790397,54039.54382446967,54109.193526930976,52034.2067513405,44728.28048104038,51716.76194168351,47719.0818831352,50596.30286127029,48048.79560070413,53379.415913096076,41699.295532844546,56637.53697171962,67620.81962715295,38407.29099485996,42111.787080786045,57897.30362330437,44546.112241105635,49452.477695201684,0.0,50396.48287964859,30294.374274011236,40824.288008071795,49532.818465547,66998.8141862163,58528.90207859686
Metabolite_027,17117.007113078253,10672.870977857277,13858.28603189617,13558.480629699003,18399.37466483839,14830.029015632266,0.0,22371.200887850053,23537.057915109406,0.0,22839.00771687437,20237.948199867922,31689.099546015612,36572.57119669617,28945.092624192206,24317.695074982876,33321.10766892681,25210.817053614803,28765.544743018698,47336.329245376095,50986.411279847256,32780.07979375885,37434.980793036026,55097.93539224661,11476.803213408704,12399.861003429198,14848.755477662751,8981.306683989422,12375.898007929178,16680.795805677684
