Metabolite,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
Metabolite_001,13374.434973431205,16449.947819976594,14204.025028404521,11957.735301988841,11410.237952819341,0.0,13462.580497564808,13843.425265133896,15846.469425253812,13451.63174948698,14397.135599140203,11843.831126476103,10993.983942025363,11040.122067094093,11870.645631449695,16026.651820438687,13614.20782732835,12796.401939292211,11202.449448996758,12862.172894883217,16634.80017350667,15185.23328684538,13393.722472811241,12876.290481427675,14599.914510041528,13195.906292727563,15045.75534530476,14989.032541772347,15280.742824913805,11972.309032264042
Metabolite_002,13253.916855393445,19750.061852202838,13344.252200229592,13594.86435994124,15263.02939075145,16787.851182899667,15300.876432435114,18403.625931643724,12950.836456965792,12963.782861506223,14049.43997490745,17046.54775657441,16732.349374796,14629.115597765647,17456.17575757208,16130.667480855605,15094.915235388871,14053.394946591237,4899.17201007447,4298.786590873529,4690.8551488674275,4099.8202963228905,4373.58067980426,4610.400559460205,14640.230263195643,16744.213862763347,15997.966031977418,15302.36936867328,17720.879793773507,12960.895990509343
Metabolite_003,68436.09155470527,44982.859495681594,67425.2548941583,68905.64348298578,0.0,61026.857921759576,64492.6221652383,65079.576629577125,58917.37311683283,60223.87238508656,65177.19587740424,0.0,56648.559262167764,59251.92169681296,58634.063350236866,0.0,50749.05689230336,52069.126153049256,63557.67991627531,53012.17100689344,49761.45759335909,57387.288441667086,62035.15159174603,66640.10664817403,48377.59352414822,52579.6694179461,57183.108115051575,58624.83435649582,61502.70125168489,59131.47456203514
Metabolite_004,109343.7747081205,94939.72887033888,107601.64369112483,144555.50329435832,139067.1638915038,122687.84274203407,136220.92172288688,147262.6019209802,180690.63056883027,124321.47027655333,137016.8190522073,166015.90833241874,151176.95000129638,221751.77845495226,185857.36709723377,278144.9118968138,200408.5164102778,220766.5625440683,262347.6400458731,314676.14746021305,0.0,264437.17774862534,226905.2748047459,193583.18393217362,112397.09166942102,114793.45131387508,102463.14811186974,99008.89610235437,117697.65254446266,115137.4825267986
Metabolite_005,8300.86230771828,0.0,8520.01464373292,10255.897748751811,7321.386109372925,10946.079149038878,8193.104051205772,7791.112343921602,0.0,8327.266378698609,7725.130276628308,7250.05176590118,8191.892771181358,7269.769823898606,8071.649629873314,8052.142137054422,7367.45150646673,8637.927508252546,8278.62632941659,8106.761041956861,7258.405773804745,5917.624402900054,11952.789792736181,9058.275178709953,8044.553251804288,9081.061957083804,8549.047121235097,8362.101665359438,6768.552864313741,6987.949487891969
Metabolite_006,0.0,245300.02240750592,253734.43926239046,173717.2508097244,0.0,0.0,232449.07389531852,232413.85475623113,227187.6723537009,160077.12659691868,241409.51847240803,244193.94050269393,207881.562350466,0.0,198730.87566458588,221220.88796391388,247417.34370034913,213316.8453767359,0.0,212600.56128674376,192326.97451184533,183988.99970615347,217327.010956899,0.0,215247.21960216737,299048.61286639725,237349.59998485967,174058.2096661485,230247.53880318854,217313.1800233848
Metabolite_007,0.0,60903.1863277959,68253.08953197904,62648.829456479914,60603.15574962069,42495.64117187161,65823.27107823406,74585.30892960781,0.0,72059.28763966069,45993.544579469504,57638.630601685014,59001.914713625985,66329.59900324052,64680.24094454937,52006.298222465964,75956.73006766787,45764.97108090555,50802.06522645258,51630.15908285287,41089.13742140009,47393.94747949034,56706.72867676878,74824.91208195055,69656.26408173096,55810.758479916854,60752.907176828514,37723.18239144751,57725.06695036935,69272.30069659937
Metabolite_008,8325.396218909185,11191.225568189318,7947.339895190266,9578.949718373824,9662.296985757544,0.0,10307.702758559994,12018.975973928318,10833.099748408631,9536.930508560621,9212.777388066439,8226.21760017559,8873.876958687446,7283.405767243254,7342.208766988924,10552.804821611282,10458.49259345575,10567.824227037883,8746.481695725419,10144.265824846349,7191.072281473589,10797.064351039573,10583.301508046245,11778.782860612686,9988.088669404046,9766.011699018083,7772.164814888791,11640.45180799476,9734.858980479321,8833.421426612456
Metabolite_009,9834.224973361888,11831.619691849482,13586.262513540301,9394.534874153098,7667.386167441122,0.0,9619.882968203268,9322.51287199675,10326.273049178772,9364.145267462129,9439.096479829139,11038.868902245822,7542.570456670913,9854.880604297012,10925.834855234314,8921.729826032724,9433.877274802035,10618.264030030152,12695.112237832958,7266.848055068503,10314.565779227418,9633.892394136561,5983.6868954675465,9826.176423013527,7931.999016546373,12922.799377679014,12023.083580735054,7493.575644753077,10381.603286847481,7997.702464792301
Metabolite_010,19055.18665758266,0.0,19861.442812704612,19854.323986667354,13183.423313501045,14470.211612784844,8898.768048098367,11918.230001217687,12516.889365973566,11591.265703074581,11851.920313119528,9942.945675982495,3313.3920026236146,3458.1606866663874,2751.9634173512122,0.0,3703.7736587588197,2509.624866603948,2669.4098388299612,3072.9233569933344,2844.5319248058586,2450.725046350486,2882.505023544092,2859.8372818178336,21583.37095411035,23574.378488572453,15970.722433412004,16921.950725179468,24198.333577459533,19476.738839351106
