Metabolite,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
Metabolite_001,138568.58773785993,171646.51522603602,0.0,136127.14788973003,132630.66099665614,160786.86444095732,174875.02553138242,135494.44025201426,133447.24454008686,164673.73389507335,229648.95127495105,146142.25998443816,140602.96837741777,131080.41610093933,178438.68783815458,144075.59816739077,0.0,119472.11658056731,121441.11673183399,137001.4069502862,145874.51146630268,163729.4523181722,125735.18091294153,159245.4502754469,117851.61838148811,158950.96705779372,148035.96469341475,155773.00963522354,118183.19509635575,130605.91003045069
Metabolite_002,11482.527982899186,14601.8346239208,12476.24313527937,13613.936789122317,12456.61923498523,13913.403424237933,11845.155630742556,14958.204883954944,12523.625421952,11656.731372116885,14480.223944002226,14331.013787696213,11716.44710505462,14338.668346990176,10630.527800236343,13507.613684436668,9605.78323427598,13648.580785899536,10373.477859681509,12607.594575371977,12870.535100501875,12022.172277295826,9413.48806690388,11062.4543556484,11555.37134627474,12584.139364152328,11246.4622972498,10969.006875776737,14181.712921594066,11502.745869752704
Metabolite_003,3020.5586999343004,1858.7540254593575,2232.2782101574453,2504.1060416253868,2378.721239581589,2418.836146986735,3070.2862960882535,3448.607564260746,2839.126739104921,2486.334490646889,2267.5181243571647,2461.459665807831,3892.2903962238606,2660.4826376660876,2598.2992177811116,0.0,3625.948928538796,2794.4708918138417,3751.876687492646,2846.104763380172,2586.113124679692,2655.265508979627,2639.8035780697865,0.0,2275.257686007883,2920.7973705685818,3105.426292413544,2778.25437719903,2453.7707807688025,3011.0878614033813
Metabolite_004,9931.325043705718,9321.206197309026,10970.250368594945,12093.973471000887,8988.08475456227,8510.403100431216,11602.355299078718,9879.304236824353,12948.079271988714,10808.086320037055,10157.348105602952,8741.923665560687,8247.932451930807,11406.054253272034,10213.870542660068,9102.54103745122,8930.91268158025,9352.557331617183,29818.55398796109,33171.560351851775,30760.433332661574,39746.0549870334,35652.33396664942,30341.256307904638,8714.49883907035,11687.266576558242,10871.554304546828,10553.521861368286,7862.945259961298,9603.591060880122
Metabolite_005,114189.39388209768,130612.51259595252,138128.53436553443,143019.86600529528,145946.8390879509,98194.0657731603,146972.4644213033,108343.34216263349,153898.16774804206,154859.76919398358,100394.3224069192,128071.22084892637,122909.15362286982,120292.04913864832,131688.87294458188,125902.87040427666,83735.96613843141,116618.29004241945,115335.6779107456,130265.12008152017,157809.24408773126,150247.0501494716,131833.30752886046,130642.93068167067,135763.85560562133,86520.78013507683,109737.53242711829,146022.98095366659,142278.0734704597,143388.11506046593
Metabolite_006,31285.764759227994,0.0,31455.570388554792,0.0,25512.847396802783,26213.027815466125,46554.19977913528,42093.47542617734,63761.20921025358,52730.277541022246,47248.843425186875,58482.23610179688,75654.22587174436,54240.198014031936,68018.13401891236,70644.15808038032,73537.22720462097,74377.70084983383,71561.6252469878,77241.5322741152,80255.08811703921,0.0,102097.31991902328,102323.00942153146,39597.6532254047,25007.03920349857,22533.152384368736,30102.002478256356,28027.10787728511,34250.728515199684
Metabolite_007,20922.50041662949,17509.435310479286,15577.0434416192,15531.991327188975,19787.356949776833,20025.528076308903,18548.50035461318,13681.099863315998,21284.47430302906,15585.755376950163,18819.728668391504,13060.432972980694,0.0,20246.917578586723,16054.55560968438,17472.14751977433,0.0,17773.42138991457,12436.70942290193,13901.364882723927,18464.249060954924,18380.973657597962,18518.962145142246,17581.322038816583,14747.272767859391,15772.067157054638,15859.803523218696,19051.876672805072,14608.788438789907,15505.871441419838
Metabolite_008,26762.576191975724,21917.748595306995,25260.808229488397,25534.136057344847,0.0,24055.501860971923,30231.9937579536,24729.06395607797,0.0,0.0,25391.907120411302,25701.89896029472,27058.7360549116,23899.827654033008,24818.713032949563,21155.286879828367,20399.438646278017,36667.1756620512,28157.158750208473,25775.403596672324,23336.101164146043,28561.566979623,24116.283821248988,25434.3275060389,32325.313602401577,26873.697067153335,22514.27383711562,21143.027325602983,18792.323475943347,18848.960649006032
Metabolite_009,31618.031880918727,28005.03257539456,32920.18132508246,29692.783341111637,31048.262620698755,22698.36610784852,28171.217334655383,31403.386679126677,34757.55681751924,32587.427472118066,0.0,33069.41057055288,0.0,25147.365595771742,27287.470853488518,28204.51299113157,33045.34956091749,35014.515333300755,28650.07175767721,23941.022817569687,26388.867384368743,32867.05956823215,25251.676946358733,35254.30138118959,26116.8967692255,32558.577950640945,23306.815085034472,34032.12007139389,19794.487096946985,28845.162044183042
Metabolite_010,60810.32425830686,57288.6440758842,56691.757630844884,0.0,55906.410364967516,78117.16818499302,51157.95228318188,70819.44276862743,71307.80744546663,51254.588443018314,55654.734890689986,84815.90535058014,78894.86323220561,70604.15878889411,58383.572228799785,50164.76433764766,50365.175627417964,69486.98094525746,53840.80698843156,49092.65713556612,66766.37146148602,51168.66029795558,71708.01598007842,0.0,64463.73284175628,46247.69452521639,55307.79911887706,56338.05991480476,56324.70063120524,62117.01202164049
