Metabolite,HealthyControl_1,HealthyControl_2,HealthyControl_3,HealthyControl_4,HealthyControl_5,HealthyControl_6,HealthyControl_7,HealthyControl_8,HealthyControl_9,Prediabetic_1,Prediabetic_2,Prediabetic_3,Prediabetic_4,Prediabetic_5,Prediabetic_6,Prediabetic_7,Prediabetic_8,Prediabetic_9,Type2Diabetes_1,Type2Diabetes_2,Type2Diabetes_3,Type2Diabetes_4,Type2Diabetes_5,Type2Diabetes_6,Type2Diabetes_7,Type2Diabetes_8,Type2Diabetes_9,MetabolicSyndrome_1,MetabolicSyndrome_2,MetabolicSyndrome_3,MetabolicSyndrome_4,MetabolicSyndrome_5,MetabolicSyndrome_6,MetabolicSyndrome_7,MetabolicSyndrome_8,MetabolicSyndrome_9,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
Metabolite_001,27958.52994333377,91307.3085830736,53943.55472292501,38082.70052502971,72604.10300219154,51144.44306434643,67386.6746698553,59678.43736427885,42822.253582053505,57395.2105322081,55449.62824076977,52585.649412444196,56892.20602860831,56690.76433355707,57275.96708108232,0.0,50997.46984886778,41695.75138748509,0.0,57528.71235942328,41318.64246066308,67658.55340498383,80911.45285029287,57697.34497544269,0.0,46998.31427245989,0.0,69771.70981191388,46165.143854469556,49846.14416480086,58073.25093195469,47483.41372950946,48933.312800716136,60059.826998215874,45766.38590932627,38995.68434300339,55518.842356351284,48423.28892217539,43767.487965423046,46569.64085537327,62052.950009864115,52229.92907796048
Metabolite_002,11209.590353659161,9603.974221128936,10631.997418310668,11166.579466423149,10936.351733278269,6794.568315707241,9399.119039473788,14501.820091894557,16583.636231905715,11940.553211715289,16428.177477215064,10090.841770298488,0.0,17895.807822278035,13458.753128741177,0.0,16418.80955765139,8542.655042837758,12361.912815829031,10916.94648524073,0.0,15452.443084362909,12378.896342038257,13605.812861016817,13290.010815854199,10715.238050518652,11494.539963798752,10287.363694963895,10615.151739729203,5513.377786338993,10692.775859409847,10042.374342806079,10412.842793574519,15789.553961513455,11093.943401965806,12653.393956871516,10735.661728433592,12426.164621333106,11581.63515922983,8928.60114928954,11049.413058409356,10562.920837167347
Metabolite_003,0.0,0.0,3053.5086374039,0.0,2451.33334195071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101.9778078548043,0.0,0.0,0.0,2153.2564950305677,2279.314855658379,2786.0649973973586,0.0,0.0,2509.0561576590208,0.0,0.0,1649.7812937829913,1998.851191243588,2298.7632547457265,2228.6542136389326,2155.9070084350524,2888.1639082311503,2689.336876725514
Metabolite_004,75483.17535565868,68164.78361075261,78586.86825436498,54030.985296857834,91458.39708082884,80626.14322526524,56504.050802711434,53650.321787077766,78178.38386039759,95350.92057871181,60006.24044463409,92871.18912192262,61053.56631987445,67271.18876340528,54948.146279930355,71979.78411021097,55575.585836900704,85662.20874850378,58926.15888719322,59841.1233497505,56860.192849325904,69800.88236477316,76687.22281388607,70327.88482611493,81081.87538264765,63245.12310793608,39478.99114649441,99447.55909264549,81864.75453902027,76460.88296753804,52924.91228445704,57930.53112022606,57053.797593031486,0.0,64884.80165069431,74208.84983263382,65995.31524984278,58729.79177150633,61748.09653477505,60645.0143156909,58839.79833409603,69989.44985245456
Metabolite_005,0.0,34526.265405072896,0.0,15262.845566627966,21308.876571882545,22632.12674080562,18202.402149607187,24978.088098072865,20091.522558754405,20147.68313524275,10283.80310664723,0.0,0.0,0.0,14603.923461669445,10646.439469592127,0.0,16597.581193650363,0.0,25989.502940799044,20289.18614774263,17647.808223905802,0.0,16725.81994868895,37220.49446315954,25130.305078761994,16142.416297513615,17882.4835221802,17939.605849219384,12450.793682673278,13978.296947648494,15496.09047850285,15790.703703776675,14898.309635661144,15167.140864400275,22732.561791349846,16553.101389375668,19542.62227484049,18995.892932617262,17816.852079954348,18804.14194694692,20101.453102994707
Metabolite_006,10036.039612110604,16237.215236760401,8319.204783967656,13679.032826383529,16422.880977937097,15071.75603429329,14767.946521094842,0.0,0.0,17549.633032946655,6199.40213910679,15201.099419533333,13824.779142010351,10162.648901417264,10607.834753002282,4891.99733949323,14774.005992358032,8039.070653614031,8093.256979612032,0.0,9714.292029883776,13709.355281742495,6790.1334172920515,10284.18520473099,18225.310990735623,22081.023959119037,11449.834994071865,11509.851823119678,14041.882360020423,13758.205905178573,9008.026569899937,14729.210578472726,15386.857963739236,9874.85085974747,13863.32209321748,15728.761790855633,11926.612248241316,10784.833257105483,13645.643655812326,17088.173001938776,11378.81642688378,13633.542658204537
Metabolite_007,6982.7738592501655,0.0,0.0,8968.111433625878,14599.081925615874,0.0,15208.512668042864,0.0,16137.53422341219,15417.086397706265,13139.095996572318,0.0,0.0,11542.522099431955,13677.072756978587,17177.732556645413,0.0,11199.721594321978,0.0,13052.347800863507,11564.100874860746,10553.38877129388,16391.315714873963,0.0,10542.278190986066,11258.750721124017,12850.566886709812,15590.667938478704,12426.857895686404,13992.496451352594,20724.163003502348,8270.354071132559,0.0,9162.372927086793,17896.753751454984,0.0,16019.563919163751,14236.52629762226,15608.075722460977,12893.244170717539,10500.093532422454,15698.485900896936
Metabolite_008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5138.604994853176,0.0,3881.9462148097437,0.0,0.0,0.0,2830.653817049151,3619.0501900244385,0.0,0.0,0.0,0.0,0.0,1917.162065995077,0.0,2756.563387990261,3865.1774557971817,0.0,3220.6236774602876,0.0,0.0,0.0,0.0,17255.651223283137,0.0,0.0,0.0,0.0,13232.868551966367,5929.2304637268335,6595.9126854349715,5000.23820221179,7428.11651740132,8004.188989810381,6637.5766213359075
Metabolite_009,24345.223267146815,56181.23279959023,0.0,0.0,34832.90281857377,17050.83359723284,32639.101589154747,0.0,63352.63567136942,35994.617069427964,0.0,0.0,26148.255751579814,128098.47013913459,67362.35114434296,0.0,0.0,72124.55105703254,0.0,72584.13212854734,0.0,0.0,88081.0060594433,0.0,61777.80825751541,0.0,83684.53890438158,0.0,44428.49314382224,29571.48825597836,54284.28170218635,0.0,0.0,69106.9903681542,0.0,84842.03754039238,46163.517924440166,48178.32968181516,43227.112082777654,41755.52327134397,60062.755970703234,51380.94838571431
Metabolite_010,0.0,23311.126062153453,17782.75193759112,27556.806795566485,23074.608720086613,21165.481090356552,33425.936092992684,24383.105540620425,0.0,37584.850325906686,37998.678449996114,36008.91610695631,31884.14087104089,22717.87565482093,35474.42363135618,21708.192505864015,0.0,37765.41872903338,46330.0382343681,27059.45296206093,24090.52811403209,28233.409509616853,33455.181614879766,26899.62318037782,39967.31064303994,0.0,16972.688352599325,25272.201012024154,0.0,26230.93390459827,16038.321920904744,32292.03236837474,29077.33851713722,17627.276366104295,19227.571853776422,30535.831021489677,26073.035488015164,26256.788823992756,24953.144100295554,41609.782499539404,24947.778083857593,22652.316500629655
Metabolite_011,2198.741775332278,2992.0510905608025,3592.928921114557,4511.7829359896705,3365.444522689172,3585.369087427282,3786.0924474415565,3063.5258732964166,2555.7452494756835,4026.379415733573,4128.001675388953,2703.340094794974,6040.491456682721,3119.5653073208973,3188.3650731979237,3649.254680848108,5181.657089365337,5047.906438933062,3989.231616735172,3516.7156019232907,3843.6289301905463,3286.0073046620696,4332.11620126671,5816.840696819795,3195.7444137199845,4064.682076482293,3565.985578366189,5886.610142290772,3741.576870700414,4225.491276575277,3979.212742878033,2858.9708119777592,3160.6829023824635,4850.552175959048,6868.215081029696,3822.4089301064764,2573.4363176356246,3084.305148212592,4157.236613929137,3918.17177020426,3748.569825722565,3167.97589109322
Metabolite_012,68471.77770499543,89737.82814438808,131647.51122931452,68395.85292165715,126879.8419332334,93690.25850344825,0.0,92499.35281989386,81389.81926449745,105736.0109579103,89035.39624469857,72817.35038156564,66117.14648289421,88917.58225404666,93737.24539278098,136609.073048136,79423.34475767608,115562.13128058634,135799.28444391888,181746.24614512207,86995.58068036256,99497.99545464692,89895.36034032429,134888.14389125002,85655.93252887286,76193.38411222752,0.0,61226.67810397877,153203.45227844195,115426.34551343159,159429.89913742468,103192.48874186311,47099.019715122246,99596.09709433834,128955.20620691478,107672.94505421698,113739.13973303538,112059.20445540051,115162.56337307382,114256.34353261789,92835.85979554566,84028.44011537047
Metabolite_013,14099.494284731141,21350.135553544835,18111.15866749703,22534.518074803906,16349.822702849959,13442.852863706124,22046.27336439438,15724.169868856683,18286.158894947508,26486.137290872066,34777.823874427304,34988.70888799284,22982.75613402501,17829.891257285475,22257.82320504316,14288.743920507051,23175.635719649395,24765.53873084932,36061.95609280442,16495.18377728275,0.0,20200.42079034162,24069.126588416835,21977.257144655465,27205.80608071949,40480.30106760376,6901.128069847471,18520.699811647224,14419.690366399007,19646.630433233924,16962.738440762692,20261.286357565197,18094.65669654581,11162.551914491516,22113.836730929153,14962.7950590451,18427.998251942678,26307.744779352957,26401.55863887756,18598.492420190516,21712.238051107026,24973.413966131156
Metabolite_014,105045.98442079128,132920.10050601463,131378.294049554,84522.01117619971,135817.93732447323,0.0,163501.7104962721,136679.14659370776,0.0,122862.03198440652,0.0,100204.1203319901,85510.7224573325,102881.36226468168,0.0,129882.89039551861,94565.56018592887,118025.81017960233,157374.1029439492,122636.3184386385,119374.82662015916,146004.67243958352,124902.98862523222,184231.58729438556,98932.75158887828,144161.85786922128,183281.21439154845,100096.80413612092,0.0,138864.64146319753,171813.9033968017,137102.64298594452,95994.68128871395,99229.92143145553,120134.31461198989,136550.15285973332,108118.30320211155,130939.43010630943,126433.37256839355,109035.18273433071,137380.99610274634,100741.51351507657
Metabolite_015,0.0,11241.883827960297,0.0,0.0,0.0,0.0,0.0,0.0,10201.38120726011,0.0,0.0,0.0,0.0,5631.654337540485,0.0,3797.925596191521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7873.5066675143935,17955.717780892926,0.0,8129.555393633944,0.0,0.0,0.0,5680.5232543450065,0.0,0.0,0.0,0.0,11591.26699424841,7907.423042675911,12429.742827877135,8059.7319241360565,9292.075412400527,8486.913915605548,7017.214351116867
Metabolite_016,27437.805075240292,0.0,0.0,32297.072324605375,23525.671605721534,15842.739567392679,0.0,25077.213907150224,0.0,23813.168384442153,28508.4211130945,0.0,26426.140482572555,0.0,31163.831118627546,0.0,26425.454148556117,0.0,26921.061310420875,0.0,0.0,0.0,0.0,28836.50421001451,22137.862726736326,23779.998161947395,50018.3968711371,0.0,25184.551807398322,26138.751295670958,21129.452923728193,0.0,31441.45273291083,19739.153846407487,39845.778101226024,15149.473896754209,23272.939046832107,24660.482636125154,23493.558192831242,26160.025918644507,30269.093964603384,23461.438942402834
Metabolite_017,13536.4858740232,34553.26681582898,21891.997927671026,19739.556888367395,23650.186817040318,20904.020671967133,23770.614058352618,27070.758557118377,18611.159402981008,31767.97071371706,0.0,22350.938816398884,0.0,18091.98366877471,21696.857570994594,38526.79731428619,30087.01069965732,17274.368302963343,15184.197443043899,19157.42006405471,23019.009507155213,18309.16347126515,29620.520732196383,29042.058320319247,27864.417661995984,15569.030936932899,31786.336623338244,18020.749838823867,19440.913288147698,20224.742517553488,29364.65628643377,16576.686118762344,28083.38302743086,24351.37645597368,29553.31179245307,15392.030532828176,25174.179071858194,18935.41589967568,23213.47601203403,22832.274172198737,16671.532443514527,22679.915329664873
Metabolite_018,21543.378700866022,0.0,30489.3260989306,18151.12358125544,30242.52053158368,26432.378410830454,32700.705679637427,20059.196090192374,23964.70257289108,16534.305607243958,0.0,9731.31323609386,12827.95387944911,12030.140308666923,19358.42495822716,20660.316019546503,14454.414568112888,16941.228911139795,78538.43937016187,55254.05938854867,33778.47442254487,40066.071304343655,32604.66264995313,58567.364846442804,25836.313977439815,43723.05645576652,58937.131993344825,32528.90872779329,47595.29877688016,46746.230652545026,74986.90442448917,45190.98669255776,19694.93876125716,53922.98627664241,53279.02608086944,43660.215469162715,27639.114705596116,22431.419485252372,24967.444770516213,22210.263828011568,25857.078560839545,29206.11230480884
Metabolite_019,16222.739285522923,15007.466476591704,30130.893392652266,24735.479937756143,28919.60505299975,16061.253442287958,24296.20525172866,24471.178334200544,27348.589111896523,27571.1132902757,30699.233566984793,0.0,0.0,24576.290061128817,34108.44343282116,0.0,28301.404196653435,27654.51772257214,41231.55621634049,30396.079810256044,24275.459313860283,29292.299417570586,36184.277829095605,37695.93808467923,35225.98478847849,34957.941532733195,7947.736778879183,24178.515141484397,18669.536446150738,23542.737958733982,19855.097585643423,32966.96085252954,18947.333921695175,14481.267365624883,29303.706730449918,19460.926941716574,20667.218707411746,28379.77888906888,20650.275430432714,20628.918070185562,27297.904934170732,27952.76825113107
Metabolite_020,19026.028871625596,15601.460745869832,21084.84480698191,9883.171692674214,20609.21058270339,17252.162975403535,16317.595847433484,12056.8869585649,16028.624793937694,21801.527810130658,12485.800552849867,15375.70015320394,0.0,14796.681774180088,11409.217549479112,15645.208188017106,12910.9082248784,19544.665037891613,0.0,14019.96821967803,16650.7066633662,15659.615510625714,15774.254858033735,17743.210098855845,15701.758320566665,16442.74406166955,9402.967281076708,24731.983592488956,24282.281518985368,15844.220237379897,12639.874070774898,14582.410698126985,12064.412614245774,14626.347427038743,14644.280068774873,16116.915193463834,17144.890906578934,16843.161288407784,16018.515102473233,16365.60299493179,17940.011512341003,15781.36672177065
Metabolite_021,11404.79080133007,23448.9864723925,17580.881019528784,0.0,27407.87672214596,12240.202566181268,16711.101917350334,18375.87153246711,21361.67865601206,17867.230960818153,14859.166003443248,13543.1982198735,25643.17977054896,21391.189081753135,12870.438709678747,14320.163760925732,15038.838764808572,15984.258183397502,13655.400478562353,0.0,18513.088558928022,13923.808651090261,17524.768258475513,0.0,21468.359886167847,18948.28843618491,17457.01248625032,17480.992970753057,17673.01993376314,14932.960000334984,16623.190446083714,12353.554423105652,20702.35594574012,17477.707587373592,14760.841187684668,14438.703917061872,18922.648290170793,16554.7584521808,16033.167304863986,12924.531638518427,13877.470982421808,15967.369401369773
Metabolite_022,41151.37990125926,55818.9825782646,58796.520106761665,0.0,0.0,0.0,0.0,44236.00900779239,0.0,55186.177313867425,71735.18463785232,60090.659430362946,0.0,0.0,49700.9965929828,64227.85157116204,0.0,0.0,54430.29437252429,0.0,0.0,73136.34390852963,66714.2300467801,47552.82905038636,51663.28282440642,0.0,0.0,0.0,35718.64398335827,0.0,0.0,44355.83150790506,0.0,47716.830758237724,48059.863761641835,68130.08276406203,35485.265281845546,63829.14150818813,62890.68985661643,54128.2874302921,45441.771566517746,52870.456281188155
Metabolite_023,3109.948882403501,0.0,3004.7862219993967,2188.9519432703096,4967.954479956188,3441.072486765979,2165.8652674457376,2526.389491812687,2391.4478264449526,3167.886515075297,2609.5518708805257,3235.0306057730077,3045.55342602616,0.0,2040.234101051044,2545.5643880408074,2368.0042956054417,4340.742077590928,2641.9282843073383,2380.2962289530587,3831.752914415517,3678.2651122818206,3972.022888112545,0.0,3904.1874693633367,3636.8897497093735,2351.302906370369,4461.733645035743,3007.228209240784,3225.6891872600354,3001.689793824364,2805.370659795666,0.0,2643.898141969128,0.0,3692.7079782349047,2986.3701400112477,3424.0492906758323,2663.6385834157877,3116.838067022308,3869.8765149993087,3529.140928540159
Metabolite_024,3178.941530905226,3562.8554396669406,3616.46465852447,4235.879559709515,3906.3701321622116,2674.8804597708377,4537.038729409557,3815.622250959411,2976.814728783909,5589.433739688817,4991.727678169355,4445.6663428653055,4170.984611044363,3824.8237283684693,4691.114607789075,2792.5235331194585,3247.782119309672,4568.185053051133,6865.215197918245,4308.992129950351,3676.9292939480665,4412.929544782057,4879.911956677448,0.0,5655.826503707916,6838.548263101153,2145.7962168850186,4109.974355740953,0.0,3287.329393624337,2703.735919381662,0.0,3693.71558821518,2469.361367157238,3656.5242081706974,3762.734053289225,4133.369028584338,4308.54070981478,4261.92339622329,3627.7938795922055,4622.478446610049,3690.3953957991534
