Metabolite,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
ISTD_D4-Alanine,8326.037329446237,8528.984933127336,7791.907755669872,7655.302859513501,7274.998223683898,7995.861092103486,7870.841834973411,7498.430638152487,8288.720866193471,7922.812068205589,7678.758827416227,7881.483130860405,8548.962648818782,8351.085815605302,8050.574198902908,8357.839594096022,7646.126067708529,8116.209428701728,8162.992564106023,7914.946196070379,8281.446389102024,7792.977816666497,8312.295102930608,8329.785117224214,7003.3368405629935,8599.981105252353,6957.7983323930475,7857.293979447516,8529.341178711304,7975.548189112525
Metabolite_002,8602.633532773023,7671.313037833668,7306.510996569693,7692.938907549419,0.0,6266.348094640021,6384.38824057132,6703.793704048301,8266.62851016132,6796.710577048031,7356.146569240734,9460.68565141536,7380.349676416455,8696.21566546149,0.0,7549.225544387328,0.0,7399.449853999028,2649.402203777178,1802.5273203311338,0.0,0.0,2136.4921825500537,1880.2018390825222,7870.172972736252,7191.046484913134,8062.003077956082,7811.0424917815735,9899.927644480515,7510.91481036463
Metabolite_003,0.0,47922.60252251529,0.0,57201.1528618668,52876.69024751068,49216.3839755544,58101.49241349697,39031.98579869168,42382.40021992533,40597.62330520338,44001.53177370076,37947.096588798646,51314.253461920256,45121.66518747163,37415.12268834873,40059.22782712707,0.0,52900.611693865976,62941.48911141395,72224.20844528622,49642.99693069677,40216.01095601687,33882.171944669935,48562.548953357094,41295.55027048817,43833.23535926516,42558.57647403145,45676.19586013384,54739.9040862946,47763.09174130713
Metabolite_004,55092.53421859586,48301.440029294805,43886.51053274607,52450.15295521568,0.0,73552.46230388345,57532.53510119794,65380.25908618518,52348.071477838566,47231.82257183817,48815.20894800652,50603.74208099027,77639.77787022351,49879.067986621,0.0,49272.70914306448,64880.38795326452,59772.88214833245,55109.03915809843,56075.27914667038,51141.2433937808,60323.410826389256,52697.17850755315,46944.61829802292,46577.556328476,57898.855935584055,71498.26086735485,57789.56248023548,55424.054069055,58890.710299716084
Metabolite_005,3808.0216169004225,3235.284626577407,2943.414928936435,3695.6366459676938,0.0,3941.545602021929,3217.7897085669874,2605.277453528089,0.0,4010.230504954497,4054.2243645076264,3047.3783096546476,2955.6879548257025,0.0,2651.5720222473474,2737.377867459396,3447.704170036418,0.0,3128.14836353538,0.0,0.0,3866.4308153785364,3173.380007901404,3448.0206830765997,2301.782257004742,3107.7586407529393,2758.6046542057456,2607.488697575052,2744.1919974298976,2977.520824742323
Metabolite_006,6871.968463275456,4909.176979604536,6017.428075476518,5570.249236430905,5702.554600700073,6962.084230698097,2858.387976786444,3222.476689095656,2576.3267754127965,2375.3602593798078,2549.6642487932872,2734.4081791635604,922.5914575903237,763.5986297708184,910.7550452113304,0.0,1310.7065394346623,1190.6173105268413,790.5382208230476,860.5683164022458,721.3931030931827,0.0,942.0338977394654,1076.616520831713,5369.327342089064,5430.022340149411,4340.423220901895,5845.460201686313,5107.4642714615175,5532.552598322638
Metabolite_007,21945.366140452683,24678.828764601178,19229.12132216632,20086.106102674148,34448.73204043374,20634.650730602214,21233.227453728105,32970.79446622163,38700.21670262953,20996.381846623495,23685.13842244224,26346.052587158236,32439.92024956229,21586.250528953147,24126.080825869725,28125.756574639756,26716.999156788996,23657.06291044263,24532.81672665898,20365.672297000005,24151.803649492038,24049.80770014424,25917.297621761365,23029.73118457791,26864.77375429618,29136.52369146632,25620.6719411396,26386.39629387311,25230.622272039112,25030.56762939684
Metabolite_008,14407.781227263555,16835.272986994813,15822.122815793773,21976.580750303903,20328.124367647597,17011.321815956526,14318.373135465234,0.0,19195.455755843697,16700.09674377503,17253.6486867497,12358.13104479535,18450.9876627109,17187.20444594132,13591.403890276844,14958.405872697016,16702.521721786787,16181.557186309572,15366.29463601441,15807.411122798532,15459.218961729863,16426.345938022263,20019.88289808078,10924.449629329303,15494.336793455468,16485.463488166657,16783.583350317193,15183.585476514036,12335.655145544331,16864.34198637244
Metabolite_009,28065.64121522891,0.0,24655.938039316647,0.0,21461.162614903165,18495.154648874366,0.0,26323.188762746875,23637.675292264306,28086.535683181606,25843.402523716886,23134.073299727814,28135.545530376494,23133.748776560027,24523.743974030545,20717.068391479657,21876.772026586314,19508.104410425924,25125.44691047914,18150.498393781778,24356.435711544957,21048.849538625214,25819.515675956274,24241.690814047863,28461.163881236338,24168.73285979201,17109.56262713426,21443.05008644098,18167.648994380383,20039.42507952404
Metabolite_010,0.0,10327.713004716903,8451.646117128434,8061.85104611661,0.0,0.0,8486.95052812485,9835.538602321465,0.0,10283.236182974015,6655.924545586646,9824.269489711223,9487.79114460377,9987.000888735072,0.0,6887.547368562146,0.0,10255.731723829913,7403.564944968119,11711.756316026556,0.0,0.0,0.0,10604.36116261616,11017.352466842172,9719.483667801624,9721.704151654,9774.25882372224,8245.75896839647,9180.406561604712
Metabolite_011,51871.230767782574,56213.20959942492,61658.82295015087,45279.857354142696,52085.747003027675,66278.19955948362,47470.30993243193,46913.48652517258,54706.83328972274,60237.82483081375,53162.67775629487,64779.34382746725,60350.05103935208,60214.6516693813,57671.330084614005,75248.10051107149,51463.274797173086,39295.67068306096,67510.34531821129,49550.273539605994,53937.43493461265,64591.013978297415,41733.48335341638,43987.06501491271,41739.62866857909,47111.74120199165,56689.45342299691,57413.006532667474,55317.19623125633,42936.737579075416
Metabolite_012,33903.59788148284,48336.63173684814,44668.57576607956,0.0,53267.676384038896,48948.70295374616,53734.57339738296,49621.20996373871,51911.81233680658,43135.040309149554,46669.6912514532,49380.374648879784,54223.58317600589,45194.50373282425,51842.57613682083,46069.947420877084,47106.233170727544,54296.75761632108,35554.88648917999,39470.98350837971,38386.61560301094,33784.233814397514,43306.251040648385,53648.405134171044,45938.523017299274,49387.88586607357,56453.61237127278,58509.52586536499,47449.49898672879,58737.275356117054
Metabolite_013,23857.3994178252,20752.47849332183,21522.854396692113,18844.007176861844,20595.144425641567,22299.693085023107,37919.671294906315,43512.47726892487,27319.617360126787,35653.82293442199,28756.121467438992,36094.367178534056,42846.49193322305,0.0,50225.92459016845,39906.39807661331,40334.28029346071,37219.16843453201,48753.527333317805,57346.0294765693,52275.791733324324,56498.796793030415,56781.37232838326,65563.50993629174,22350.69676964881,18854.408251557452,27614.99110001072,22388.606537987667,27811.9083047913,24922.77354193209
