Metabolite,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Mild_1,Mild_2,Mild_3,Mild_4,Mild_5,Mild_6,Moderate_1,Moderate_2,Moderate_3,Moderate_4,Moderate_5,Moderate_6,Severe_1,Severe_2,Severe_3,Severe_4,Severe_5,Severe_6,QC_1,QC_2,QC_3,QC_4,QC_5,QC_6
Metabolite_001,26207.51845275255,33310.76880902179,23714.2890738046,26755.4164380468,0.0,25052.29270338056,29228.433677330122,27826.738236671303,35572.7005890774,22718.76737699471,0.0,26782.05311081635,29741.40001010194,30546.965494114607,29963.77624673241,0.0,31101.94418862494,23204.33608809465,22639.872796263284,25941.70735323865,25987.889052332415,26336.562032156016,32910.099584652045,25579.52755234151,33209.60107383374,33407.44739985558,28251.617906403357,26005.090050100047,34113.21610406544,24769.63575853039
Metabolite_002,46630.83708446507,45209.47275787259,52722.77806611133,45798.497589559505,43536.32523083942,50840.76619156684,40993.33716306005,47218.38637912242,44271.167923761575,43625.9559511831,34745.766274273614,43371.27123267321,37292.67401027977,46989.44755139768,61922.63534561642,41951.39270490924,49793.53989431441,50487.63117750342,36511.485001491485,48261.83007610465,41394.33231727301,40627.59955703755,49081.93660398215,39926.30307894159,40210.91955495261,48624.306470972915,52662.21222770224,43833.68637600342,47967.007038913536,35080.71552462296
Metabolite_003,12079.232176736465,13114.964388409298,10807.688928950629,0.0,12794.747110919607,12801.954419000032,0.0,14828.356197868774,10220.682299729287,11116.469462677449,13296.054738926652,11723.013708504355,0.0,14477.478058409537,10844.049523588674,10949.702733026734,10144.165644428915,12967.24643939825,11200.119198889628,11082.158211144715,10144.322368519717,14015.621955333234,10964.600132384126,10706.390463831136,9241.868261768313,13032.270726740731,12695.91962818344,13686.3737870076,15211.345869020273,12651.621683952433
Metabolite_004,8431.033657362826,6979.68822076354,9022.486985735697,9360.057577338266,9226.918967107922,6629.115920860669,10685.527134630607,9744.921995846458,8373.633106140263,8507.509352642603,6656.1043385726125,9318.855940987054,8432.114014702041,7493.302586568408,11937.759627483993,11193.158063333596,0.0,0.0,7369.724271209165,8852.427968370039,9526.250324637676,8734.874197172881,8831.120982828608,9130.09477417523,7478.454275243332,10040.924622537035,10325.699038254286,8323.177892329135,7999.815334735406,12203.176067531329
Metabolite_005,3566.536131987304,2122.116008786156,2959.6983452947347,2579.0181948290806,2621.2246001202043,2709.943060597193,3024.7961840710564,2946.5095104698867,2474.864266561536,2553.5027656162933,2206.437612683326,0.0,3128.852277722376,0.0,3481.8967369456614,3050.1121536418045,2828.7298970609177,4143.088059197712,2615.3973975163435,2451.957540994739,2804.30528779945,3094.3899700348884,0.0,2799.550311810027,2356.819303444427,3354.7900054533766,2808.4891146982663,2560.117511660389,2620.8387580583562,3065.005979657878
Metabolite_006,44644.055162234756,72605.29906868986,56737.103712290955,58584.880190154894,0.0,0.0,58712.62350205184,57429.61238828106,0.0,83949.91994733323,0.0,57570.632083363555,79899.57676299127,50823.528190415294,74117.67100454205,58877.33664243726,67904.36710955968,63296.0812679363,61033.27853777548,50907.082133447606,56911.038972433205,0.0,54922.06785690047,49445.33673523855,50225.18120628145,71943.24495743403,73936.38729314123,52245.55867134139,58005.5578732319,70109.22794789489
Metabolite_007,0.0,22619.285911409257,24568.57808222397,18964.819378183318,20209.72255837045,25119.801436042075,23082.975989829225,24004.56923221903,22705.864421982584,18454.076588783486,0.0,27213.632348139952,24200.939180095836,0.0,19457.120281614254,21574.262547138267,20922.561624630656,20762.45791106101,20410.71154669298,24480.46396321959,24335.390996498663,25427.197207866968,29353.676158733277,22994.79603757371,24029.74714237869,23015.433065977908,17585.236991664762,19109.78364578443,24034.922423186865,20974.990551588915
Metabolite_008,26859.19472160305,21858.514916346936,28258.546367884504,25887.098354731566,27833.425132002085,27856.25918747895,21209.643025234134,31929.526827055528,22382.835766598433,25876.605012080017,25250.87571450803,31598.080812433578,27508.081454159517,31267.987989842044,27907.565411994514,0.0,23983.996697697647,25221.119235735958,27219.936083949186,28133.4084544503,24580.336249551696,33434.45584897694,28322.418243202676,22920.471300062643,33835.63959626707,21024.25338511025,28721.82409658825,24948.313522612858,34276.78926755227,30684.38842305302
Metabolite_009,0.0,11704.493772554993,0.0,11409.013842809618,9997.409462475638,0.0,17177.969112677405,0.0,15263.26238458006,0.0,15752.818964610442,0.0,0.0,14814.753166154233,0.0,0.0,0.0,0.0,0.0,0.0,22535.914827478264,22230.860540231482,0.0,27433.673221958066,7221.8030959092175,9780.466878746925,9038.017867040338,9846.220048787973,11122.207497703737,9352.695295192854
Metabolite_010,72049.26295734583,56732.08962000707,69167.08257447538,64090.20981614687,77740.73793877801,72483.35295548906,70286.40171973742,76873.63992257944,65607.8480112528,63331.670821079795,50905.018350397775,74232.16361278333,74998.6172394735,74382.62069904782,68728.53671791528,87713.24655758882,0.0,97999.11686589131,0.0,66258.89570568371,70636.64936753591,74100.54510384052,79310.9727643152,99248.00527850616,76480.66723434794,83355.01171550174,85976.78273023441,80006.08985091258,99897.50420320359,71249.89330336715
Metabolite_011,0.0,47009.9362423656,54168.48881116169,0.0,0.0,50818.747187192195,62171.48853279256,59532.56161623611,47130.57119271005,0.0,50285.96893130839,49689.66931461542,0.0,60600.038773599874,0.0,63672.658755070355,57616.49852858665,0.0,48234.65461564972,57306.6422360476,54198.4094320385,0.0,0.0,49018.5446016394,53782.20937884845,49424.05004552724,53484.09431390835,52617.688315323685,53241.05122329205,52641.86196919519
Metabolite_012,17546.39093435758,22592.63890960864,20753.618554076947,21027.216182089935,23624.305656524157,17891.198243462924,20702.194892650106,17881.58963325131,17072.625352686133,23598.38561758847,17042.571790997514,28104.40934256878,27697.26721739432,14021.139404984295,22254.212693800033,17090.160466191708,21125.885477058448,0.0,13259.645451095266,0.0,23662.75303719495,20160.258529323637,25790.900267546054,17438.31692538866,25862.216279322067,19402.835395523096,15972.0108418086,21132.03346297162,25166.83771570872,20025.939324217987
Metabolite_013,13057.187329917586,0.0,9096.022518780735,17133.629861867397,16808.575560549765,15818.239539808681,13477.860504632114,12828.509411294284,12050.343471874761,16024.067364493949,14301.956099860388,10620.26721509924,11786.857771437415,0.0,11636.527516994078,14044.072715824055,17107.01084163944,17071.925800355755,14040.375142211014,11060.463675682588,14651.359492866768,10524.504756699684,11751.737553359486,11412.707156756322,12221.003741914867,13282.348567146566,14877.366043527016,13262.985378607613,9885.937308580544,13896.809565923679
Metabolite_014,0.0,17521.60961912195,13958.037588130708,15055.36683472298,14449.095872140417,17605.6618599701,11663.21911376112,14380.65013496182,18909.79136808989,14373.62940019369,0.0,17451.85058804604,11607.418543908396,13534.078887511927,20616.424015081157,11917.696652900571,14070.784995013375,0.0,4811.42078688672,5923.145320598808,3990.201155445704,4714.551047855211,5187.502691287522,4411.061448913234,13451.935435758509,14373.06194571556,12834.220974699367,15374.448766552823,18139.47816064691,14251.979203837887
Metabolite_015,10951.858300204532,7305.225207839188,7476.078993216003,11940.944529892053,9637.864518048713,10554.152910928524,7909.343344850839,8567.978212375838,11808.0991833964,9822.65842825085,10888.388473158246,9926.366478320035,11794.367674584488,9095.678538975191,6993.057871389058,8558.10229351587,10740.836853958948,10286.617692055066,9497.768208101908,11809.271570422701,9025.23707848942,8293.54388974177,11275.719882676109,8904.335376379897,10242.575253544966,7942.469156936149,7896.052729727915,8951.568050687814,13807.964616259302,10619.944679207163
Metabolite_016,21645.54221768499,21222.721361935648,23392.07524102621,23060.29588208723,25170.528931944787,0.0,21512.727389367436,33683.946221849714,16917.34355256532,23380.643270778135,20259.085699173847,0.0,18482.451100928432,19959.74772787489,22721.535224994925,18391.44976364293,36269.67754118094,26953.078120086106,25611.37422094196,23999.96873006339,24413.224977065263,22127.072548703596,23488.91025805979,21825.58370943535,19298.783113469868,21987.376972874077,28159.037732912893,23767.8615182163,28944.88967423086,26365.876103921946
Metabolite_017,16781.09414317291,0.0,12216.059620075115,11189.57745043062,14320.629414998117,11169.03370327474,13138.743097700588,9208.49264355362,11107.077304866725,0.0,12889.045694014763,14611.053818771772,11023.930032750171,11520.33298619137,9239.018918488811,11896.293620890354,13493.696478702024,11511.042320537072,12084.082739523967,10318.366027662101,10473.389940524588,11923.963311996546,13390.437204564436,11273.039311487708,13244.800762071825,14179.96516194626,11079.688542983595,10003.47235356867,8484.47699830959,12351.670470584035
Metabolite_018,0.0,40103.07698542179,35770.87385337951,38115.629526865836,41920.45009543225,37459.97024533225,46159.95081106454,35137.76299090776,35955.74222195523,37202.54292904774,42216.187087892205,33551.268234245574,47021.90183878322,30231.02038714722,0.0,41669.91247847481,31544.372871289666,41792.97931812227,44796.44378927447,40971.692076177555,0.0,39029.46255310194,39436.0091286892,45643.82978820627,38023.9088567643,36738.67529219002,45073.57262249758,43239.11669843891,46339.887768528,33352.573611170614
Metabolite_019,0.0,14981.807195701438,13380.169830815525,17252.48314999157,16163.25822659003,13068.440519183618,14842.20411625657,16922.49208775608,11786.011306428358,16686.431573926573,14900.362544275344,16610.36859722232,11008.792238717571,19540.9739028107,14025.545206173163,14084.61958907998,14831.798383559611,16695.70080811555,0.0,19412.254858392844,14841.888941447527,19677.685078105707,14913.936079853052,15390.27951607335,12109.426587904294,13626.252258819506,16070.714982172101,12363.31039516895,19810.571449896088,15878.974841285048
Metabolite_020,14654.405097673663,0.0,19874.251226836983,17384.443093154347,0.0,14519.5143165051,17744.591726017676,13607.390653494302,16312.333340314968,10993.710571518146,0.0,15718.352495004403,17239.55222222153,14380.313254105893,17766.01252400492,12365.669190417007,15033.051714273915,0.0,12212.314274593815,18768.59791223061,16152.108206916604,0.0,0.0,0.0,14020.011424743674,12585.690809978574,14643.950912703283,11116.386639888666,15968.755666230823,20411.763796678708
Metabolite_021,95827.56197173793,72505.39142567191,95341.31599099212,101395.01206290233,104822.8168496848,101449.21426050017,128742.07908071617,99601.95430944469,96539.89063662365,107966.38312536,109527.69731614772,99227.0382091311,98777.10428695666,0.0,114303.89667853492,81142.50760103676,104271.816557812,0.0,30478.274159656066,23668.19383102614,29987.93871880143,34279.895050342886,0.0,26124.402568442794,144360.88983542158,117812.67156063848,104833.11502366076,155310.81675308858,98061.98880628779,81667.94964862608
Metabolite_022,10396.295139776093,10768.748119693371,0.0,11825.334066343044,12358.19193579087,8610.820331127237,9667.770247429708,8869.719594275828,8764.236042269382,0.0,10805.494466308743,10312.059743599162,11164.486630773503,0.0,9665.921157849923,10039.645874057991,10268.375168876022,0.0,11509.615228394989,9549.150349474327,10200.772779913948,0.0,9703.718065491332,12001.245537224015,9583.807339071036,10414.162580010758,9144.342716674559,11846.137362987802,12574.687865329994,10935.021510315726
Metabolite_023,6139.967860778893,3346.8085272260228,4137.923466517833,5066.359011309832,3634.530632918667,4477.343175835346,4641.45426420423,4423.588919412847,4560.802291774207,5216.053262947684,0.0,3715.8241627790635,3765.71827091948,4908.282952596411,3848.8858867671506,6116.089122799505,4521.51301963514,4753.605890963615,4472.046008951349,4345.570180571092,4114.26575995955,5915.242065808178,4850.233294069253,3392.9520986480143,4173.821303463167,4972.448113727808,4890.444409806738,5521.049432071145,4780.964593494699,4420.0782360392595
Metabolite_024,30945.54886161415,0.0,34468.99602006193,0.0,30252.388592419382,0.0,32460.905733814605,31271.825059422496,36030.16129978703,0.0,34783.7825790566,38167.18089536801,31733.620283950368,0.0,0.0,30067.10396352383,28767.1267465884,36908.25235977913,0.0,30440.061928985124,37359.53730782415,0.0,34509.07597639144,30100.97666422684,33665.47731649685,30940.580767714247,38527.39244626463,32892.27983922479,25736.210132002114,29529.67102484919
Metabolite_025,2281.5416507255445,2990.0412557057343,0.0,0.0,0.0,2324.606872105239,0.0,0.0,0.0,2600.948133221263,0.0,0.0,3249.3373008287863,0.0,0.0,3008.3541330006433,3545.9384613101092,2224.8229663203238,0.0,0.0,0.0,3127.999949326603,0.0,0.0,2868.153540864549,2977.350639100405,2847.0639111067926,2886.456182612417,3087.793754792092,1913.8498841942317
Metabolite_026,21137.345325966668,24002.94047205332,29066.440574372915,27064.274802641565,23490.406202079877,0.0,27812.21605723924,29550.02605326636,33007.19451896759,39492.79956417158,28437.74940826548,29501.19053637674,0.0,28487.370027894387,23748.636388281266,26805.464126392082,32166.601771680165,30273.812006611,8268.324708827537,7448.557380099211,8543.40101722607,6190.29779690252,8609.049064233208,6583.251450776912,27112.65890294156,27376.069977772775,37765.56199662709,25618.78757269062,30839.892726615555,30550.736599523087
Metabolite_027,59652.30991135381,52215.355226914,49503.251165569935,49458.696207146124,69202.09397981364,52210.401888320885,49012.68231248885,67833.71089344547,64452.024430436104,0.0,54274.27749231736,0.0,0.0,57214.13714324659,0.0,0.0,0.0,45434.49937358963,0.0,182028.44746490996,211171.87575469346,170972.71590406873,245452.41878152464,0.0,75713.07129089066,71932.95546135327,51103.379210683066,50354.9018585304,48120.12425409487,50449.7427320611
Metabolite_028,28319.826323997127,30065.8419619957,21542.91195865999,27742.246608563335,23373.41059733437,22609.4783241147,23042.23126495295,26536.08099990703,17418.488070199975,0.0,21483.34437600991,26653.295246339196,26376.20924295807,27458.83409962227,25978.533915297554,24899.840622202384,20864.479446283443,24553.439131032217,22329.451541557788,21818.781274261484,16897.329962481006,27784.95362045931,20401.16301433829,23496.952506838126,31411.62392465541,27072.725320312864,22006.19911550855,34442.67879327679,27660.002350657178,20827.89881231342
